EPOCH(000%) LOSS: MLM=3.3912, CLS=0.9955 ELAPSED TIME: 33.9s
EPOCH(001%) LOSS: MLM=3.3327, CLS=0.8211 ELAPSED TIME: 33.8s
EPOCH(002%) LOSS: MLM=3.3116, CLS=0.5126 ELAPSED TIME: 34.1s
EPOCH(002%) LOSS: MLM=3.3096, CLS=0.3462 ELAPSED TIME: 33.6s
EPOCH(003%) LOSS: MLM=3.3004, CLS=0.2490 ELAPSED TIME: 33.9s
EPOCH(004%) LOSS: MLM=3.2868, CLS=0.1849 ELAPSED TIME: 34.1s
EPOCH(004%) LOSS: MLM=3.2622, CLS=0.1489 ELAPSED TIME: 33.6s
EPOCH(005%) LOSS: MLM=3.2482, CLS=0.1289 ELAPSED TIME: 33.6s
EPOCH(006%) LOSS: MLM=3.2358, CLS=0.1056 ELAPSED TIME: 33.9s
EPOCH(006%) LOSS: MLM=3.2359, CLS=0.0830 ELAPSED TIME: 33.9s
EPOCH(007%) LOSS: MLM=3.2072, CLS=0.0919 ELAPSED TIME: 33.6s
EPOCH(008%) LOSS: MLM=3.1726, CLS=0.0710 ELAPSED TIME: 34.0s
EPOCH(008%) LOSS: MLM=3.1286, CLS=0.0672 ELAPSED TIME: 34.2s
EPOCH(009%) LOSS: MLM=3.0905, CLS=0.0682 ELAPSED TIME: 34.0s
EPOCH(010%) LOSS: MLM=3.0661, CLS=0.0595 ELAPSED TIME: 33.9s
EPOCH(010%) LOSS: MLM=3.0229, CLS=0.0546 ELAPSED TIME: 34.0s
EPOCH(011%) LOSS: MLM=2.9924, CLS=0.0425 ELAPSED TIME: 33.5s
EPOCH(012%) LOSS: MLM=2.9444, CLS=0.0473 ELAPSED TIME: 33.9s
EPOCH(012%) LOSS: MLM=2.8769, CLS=0.0605 ELAPSED TIME: 33.8s
EPOCH(013%) LOSS: MLM=2.8232, CLS=0.0555 ELAPSED TIME: 33.8s
EPOCH(014%) LOSS: MLM=2.7679, CLS=0.0434 ELAPSED TIME: 33.7s
EPOCH(014%) LOSS: MLM=2.7409, CLS=0.0548 ELAPSED TIME: 33.5s
EPOCH(015%) LOSS: MLM=2.6637, CLS=0.0487 ELAPSED TIME: 33.5s
EPOCH(016%) LOSS: MLM=2.6155, CLS=0.0339 ELAPSED TIME: 33.7s
EPOCH(016%) LOSS: MLM=2.5815, CLS=0.0398 ELAPSED TIME: 33.7s
EPOCH(017%) LOSS: MLM=2.5299, CLS=0.0459 ELAPSED TIME: 34.0s
EPOCH(018%) LOSS: MLM=2.4991, CLS=0.0391 ELAPSED TIME: 34.2s
EPOCH(018%) LOSS: MLM=2.4714, CLS=0.0377 ELAPSED TIME: 33.6s
EPOCH(019%) LOSS: MLM=2.4043, CLS=0.0436 ELAPSED TIME: 34.0s
EPOCH(020%) LOSS: MLM=2.3626, CLS=0.0373 ELAPSED TIME: 34.2s
EPOCH(020%) LOSS: MLM=2.3847, CLS=0.0401 ELAPSED TIME: 33.7s
EPOCH(021%) LOSS: MLM=2.2963, CLS=0.0265 ELAPSED TIME: 33.9s
EPOCH(022%) LOSS: MLM=2.2826, CLS=0.0278 ELAPSED TIME: 34.0s
EPOCH(022%) LOSS: MLM=2.2334, CLS=0.0373 ELAPSED TIME: 33.7s
EPOCH(023%) LOSS: MLM=2.1948, CLS=0.0307 ELAPSED TIME: 34.0s
EPOCH(024%) LOSS: MLM=2.2098, CLS=0.0395 ELAPSED TIME: 34.0s
EPOCH(024%) LOSS: MLM=2.1683, CLS=0.0348 ELAPSED TIME: 33.8s
EPOCH(025%) LOSS: MLM=2.1414, CLS=0.0498 ELAPSED TIME: 34.0s
EPOCH(026%) LOSS: MLM=2.1094, CLS=0.0269 ELAPSED TIME: 33.6s
EPOCH(026%) LOSS: MLM=2.0956, CLS=0.0347 ELAPSED TIME: 33.8s
EPOCH(027%) LOSS: MLM=2.0611, CLS=0.0323 ELAPSED TIME: 34.2s
EPOCH(028%) LOSS: MLM=2.0297, CLS=0.0428 ELAPSED TIME: 33.6s
EPOCH(028%) LOSS: MLM=2.0244, CLS=0.0320 ELAPSED TIME: 34.0s
EPOCH(029%) LOSS: MLM=1.9252, CLS=0.0309 ELAPSED TIME: 34.2s
EPOCH(030%) LOSS: MLM=1.9360, CLS=0.0379 ELAPSED TIME: 34.3s
EPOCH(030%) LOSS: MLM=1.9428, CLS=0.0325 ELAPSED TIME: 33.8s
EPOCH(031%) LOSS: MLM=1.9330, CLS=0.0322 ELAPSED TIME: 33.9s
EPOCH(032%) LOSS: MLM=1.9374, CLS=0.0409 ELAPSED TIME: 33.9s
EPOCH(032%) LOSS: MLM=1.8821, CLS=0.0290 ELAPSED TIME: 33.7s
EPOCH(033%) LOSS: MLM=1.8786, CLS=0.0255 ELAPSED TIME: 33.9s
EPOCH(034%) LOSS: MLM=1.8753, CLS=0.0376 ELAPSED TIME: 34.1s
EPOCH(034%) LOSS: MLM=1.8421, CLS=0.0299 ELAPSED TIME: 34.0s
EPOCH(035%) LOSS: MLM=1.8594, CLS=0.0496 ELAPSED TIME: 33.8s
EPOCH(036%) LOSS: MLM=1.8371, CLS=0.0326 ELAPSED TIME: 33.6s
EPOCH(036%) LOSS: MLM=1.8365, CLS=0.0302 ELAPSED TIME: 33.8s
EPOCH(037%) LOSS: MLM=1.7882, CLS=0.0299 ELAPSED TIME: 34.0s
EPOCH(038%) LOSS: MLM=1.7730, CLS=0.0280 ELAPSED TIME: 33.9s
EPOCH(038%) LOSS: MLM=1.7683, CLS=0.0294 ELAPSED TIME: 33.9s
EPOCH(039%) LOSS: MLM=1.7595, CLS=0.0261 ELAPSED TIME: 33.9s
EPOCH(040%) LOSS: MLM=1.7678, CLS=0.0285 ELAPSED TIME: 34.1s
EPOCH(040%) LOSS: MLM=1.7457, CLS=0.0315 ELAPSED TIME: 34.3s
EPOCH(041%) LOSS: MLM=1.7403, CLS=0.0413 ELAPSED TIME: 33.8s
EPOCH(042%) LOSS: MLM=1.7399, CLS=0.0447 ELAPSED TIME: 33.7s
EPOCH(042%) LOSS: MLM=1.6807, CLS=0.0306 ELAPSED TIME: 34.2s
EPOCH(043%) LOSS: MLM=1.6935, CLS=0.0341 ELAPSED TIME: 34.1s
EPOCH(044%) LOSS: MLM=1.6785, CLS=0.0333 ELAPSED TIME: 33.8s
EPOCH(044%) LOSS: MLM=1.6527, CLS=0.0419 ELAPSED TIME: 34.1s
