EPOCH(000%) LOSS: MLM=3.3021, CLS=0.0000 ELAPSED TIME: 76.4s
EPOCH(001%) LOSS: MLM=3.2151, CLS=0.0000 ELAPSED TIME: 76.4s
EPOCH(002%) LOSS: MLM=3.0755, CLS=0.0000 ELAPSED TIME: 76.4s
EPOCH(002%) LOSS: MLM=2.9073, CLS=0.0000 ELAPSED TIME: 76.2s
EPOCH(003%) LOSS: MLM=2.7713, CLS=0.0000 ELAPSED TIME: 75.2s
EPOCH(004%) LOSS: MLM=2.6495, CLS=0.0000 ELAPSED TIME: 76.2s
EPOCH(004%) LOSS: MLM=2.5193, CLS=0.0000 ELAPSED TIME: 75.9s
EPOCH(005%) LOSS: MLM=2.4346, CLS=0.0000 ELAPSED TIME: 75.8s
EPOCH(006%) LOSS: MLM=2.3472, CLS=0.0000 ELAPSED TIME: 75.9s
EPOCH(006%) LOSS: MLM=2.2812, CLS=0.0000 ELAPSED TIME: 75.2s
EPOCH(007%) LOSS: MLM=2.2229, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(008%) LOSS: MLM=2.1577, CLS=0.0000 ELAPSED TIME: 75.0s
EPOCH(008%) LOSS: MLM=2.1084, CLS=0.0000 ELAPSED TIME: 75.9s
EPOCH(009%) LOSS: MLM=2.0571, CLS=0.0000 ELAPSED TIME: 75.3s
EPOCH(010%) LOSS: MLM=2.0189, CLS=0.0000 ELAPSED TIME: 74.9s
EPOCH(010%) LOSS: MLM=1.9746, CLS=0.0000 ELAPSED TIME: 76.2s
EPOCH(011%) LOSS: MLM=1.9434, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(012%) LOSS: MLM=1.9119, CLS=0.0000 ELAPSED TIME: 76.0s
EPOCH(012%) LOSS: MLM=1.8872, CLS=0.0000 ELAPSED TIME: 76.8s
EPOCH(013%) LOSS: MLM=1.8252, CLS=0.0000 ELAPSED TIME: 76.2s
EPOCH(014%) LOSS: MLM=1.8248, CLS=0.0000 ELAPSED TIME: 75.5s
EPOCH(014%) LOSS: MLM=1.7882, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(015%) LOSS: MLM=1.7764, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(016%) LOSS: MLM=1.7410, CLS=0.0000 ELAPSED TIME: 75.7s
EPOCH(016%) LOSS: MLM=1.7358, CLS=0.0000 ELAPSED TIME: 76.0s
EPOCH(017%) LOSS: MLM=1.6870, CLS=0.0000 ELAPSED TIME: 77.2s
EPOCH(018%) LOSS: MLM=1.6879, CLS=0.0000 ELAPSED TIME: 74.9s
EPOCH(018%) LOSS: MLM=1.6561, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(019%) LOSS: MLM=1.6249, CLS=0.0000 ELAPSED TIME: 75.6s
EPOCH(020%) LOSS: MLM=1.6329, CLS=0.0000 ELAPSED TIME: 75.6s
EPOCH(020%) LOSS: MLM=1.6240, CLS=0.0000 ELAPSED TIME: 76.1s
EPOCH(021%) LOSS: MLM=1.6000, CLS=0.0000 ELAPSED TIME: 76.5s
EPOCH(022%) LOSS: MLM=1.5811, CLS=0.0000 ELAPSED TIME: 75.1s
