EPOCH(000%) LOSS: MLM=3.3334, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(001%) LOSS: MLM=3.2734, CLS=0.0000 ELAPSED TIME: 35.6s
EPOCH(002%) LOSS: MLM=3.2000, CLS=0.0000 ELAPSED TIME: 36.2s
EPOCH(002%) LOSS: MLM=3.1021, CLS=0.0000 ELAPSED TIME: 35.5s
EPOCH(003%) LOSS: MLM=2.9790, CLS=0.0000 ELAPSED TIME: 35.3s
EPOCH(004%) LOSS: MLM=2.8473, CLS=0.0000 ELAPSED TIME: 36.0s
EPOCH(004%) LOSS: MLM=2.7234, CLS=0.0000 ELAPSED TIME: 35.6s
EPOCH(005%) LOSS: MLM=2.5992, CLS=0.0000 ELAPSED TIME: 36.0s
EPOCH(006%) LOSS: MLM=2.5234, CLS=0.0000 ELAPSED TIME: 35.6s
EPOCH(006%) LOSS: MLM=2.4761, CLS=0.0000 ELAPSED TIME: 35.7s
EPOCH(007%) LOSS: MLM=2.4099, CLS=0.0000 ELAPSED TIME: 35.7s
EPOCH(008%) LOSS: MLM=2.3320, CLS=0.0000 ELAPSED TIME: 35.6s
EPOCH(008%) LOSS: MLM=2.2736, CLS=0.0000 ELAPSED TIME: 35.6s
EPOCH(009%) LOSS: MLM=2.2259, CLS=0.0000 ELAPSED TIME: 36.1s
EPOCH(010%) LOSS: MLM=2.1687, CLS=0.0000 ELAPSED TIME: 35.7s
EPOCH(010%) LOSS: MLM=2.1071, CLS=0.0000 ELAPSED TIME: 35.0s
EPOCH(011%) LOSS: MLM=2.0837, CLS=0.0000 ELAPSED TIME: 35.3s
EPOCH(012%) LOSS: MLM=2.0602, CLS=0.0000 ELAPSED TIME: 36.3s
EPOCH(012%) LOSS: MLM=2.0046, CLS=0.0000 ELAPSED TIME: 35.8s
EPOCH(013%) LOSS: MLM=2.0093, CLS=0.0000 ELAPSED TIME: 35.6s
EPOCH(014%) LOSS: MLM=1.9286, CLS=0.0000 ELAPSED TIME: 36.0s
EPOCH(014%) LOSS: MLM=1.9160, CLS=0.0000 ELAPSED TIME: 36.1s
EPOCH(015%) LOSS: MLM=1.8924, CLS=0.0000 ELAPSED TIME: 35.3s
EPOCH(016%) LOSS: MLM=1.8740, CLS=0.0000 ELAPSED TIME: 35.6s
EPOCH(016%) LOSS: MLM=1.8567, CLS=0.0000 ELAPSED TIME: 36.1s
EPOCH(017%) LOSS: MLM=1.8024, CLS=0.0000 ELAPSED TIME: 35.6s
EPOCH(018%) LOSS: MLM=1.7894, CLS=0.0000 ELAPSED TIME: 36.3s
EPOCH(018%) LOSS: MLM=1.7895, CLS=0.0000 ELAPSED TIME: 35.9s
EPOCH(019%) LOSS: MLM=1.7227, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(020%) LOSS: MLM=1.7254, CLS=0.0000 ELAPSED TIME: 35.8s
EPOCH(020%) LOSS: MLM=1.7236, CLS=0.0000 ELAPSED TIME: 35.9s
EPOCH(021%) LOSS: MLM=1.7138, CLS=0.0000 ELAPSED TIME: 35.3s
EPOCH(022%) LOSS: MLM=1.6600, CLS=0.0000 ELAPSED TIME: 35.7s
EPOCH(022%) LOSS: MLM=1.6650, CLS=0.0000 ELAPSED TIME: 36.0s
EPOCH(023%) LOSS: MLM=1.6464, CLS=0.0000 ELAPSED TIME: 35.3s
EPOCH(024%) LOSS: MLM=1.6413, CLS=0.0000 ELAPSED TIME: 35.5s
EPOCH(024%) LOSS: MLM=1.6184, CLS=0.0000 ELAPSED TIME: 35.3s
EPOCH(025%) LOSS: MLM=1.6261, CLS=0.0000 ELAPSED TIME: 35.8s
EPOCH(026%) LOSS: MLM=1.5925, CLS=0.0000 ELAPSED TIME: 35.8s
EPOCH(026%) LOSS: MLM=1.5691, CLS=0.0000 ELAPSED TIME: 35.9s
EPOCH(027%) LOSS: MLM=1.5252, CLS=0.0000 ELAPSED TIME: 34.5s
